,semel,shem_eretz,uc2010,Jewso10,Arabs10,Olim10,AhuzGidulShnati10,ribuitivishnati10,p0509_0_4,p0509_5_14,p0509_15_24,p0509_25_34,p0509_35_44,p0509_45_54,p0509_55_64,p0509_65_74,p0509_75p,RPiryon0509_tot,Rabort0509_15_49,Rabort_up,Rabort_dn
92,,,113.2,99.8,0.2,31.3,2.3,1159,7.701467948,15.28942317,15.71540267,13.51984534,11.66920563,12.5477227,9.715920285,7.677076238,6.163936008,2.354077809,17.3,18.02624872,16.59688264
93,,,38.6,99.8,0.2,6.8,2.8,548,9.305686021,16.14767881,14.18219045,15.38919265,14.05079959,11.85606819,9.870218471,4.93500782,4.263157995,2.278252447,13.2,14.28058607,12.05726587
94,,,72.6,0.3,99.7,0,1.2,1162,11.56112429,23.4389096,17.17243659,14.77482283,12.40352437,9.275855503,5.748086253,3.852907312,1.772333247,2.903688131,9.2,9.883183871,8.576810655
95,,,185,99.8,0.2,26.1,1.9,2050,8.279488187,14.68736758,14.52469697,14.43886379,10.84578355,11.63690792,10.58996417,7.414751786,7.582176062,2.483697621,11.2,11.61086748,10.69180528
96,,,26,0.5,99.5,0,2.4,601,12.6993499,24.04504669,18.56591412,16.66199307,13.25233077,7.382977598,3.97741916,2.338502096,1.076466599,3.24861631,6.4,7.299092966,5.523265404
97,,,46.5,70.5,29.5,18.3,0.6,569,8.018293657,15.77311986,17.3656745,14.37871508,11.29342734,12.9675535,8.868827188,6.24089853,5.093490339,2.475137694,18.3,19.38105143,17.16834602
98,,,40.8,99.3,0.7,25.2,1.3,388,7.313118004,14.76522239,17.556664,14.12733631,10.58159438,13.22051349,9.995893674,6.739158894,5.700498853,2.176143304,16.5,17.66764133,15.40998129
99,,,31.8,99.8,0.2,15.2,4.1,391,8.3915977,16.42003205,16.09236617,12.88699014,13.33580447,12.75758165,9.096537406,5.641671457,5.377418965,2.424090888,11.8,12.90989452,10.69927383
100,,,210.3,99.9,0.1,19.3,0.8,2587,8.723898757,14.40913858,13.64838001,15.53828401,12.34916373,11.21175925,10.98578149,6.893452728,6.240141444,2.382230893,12,12.49786487,11.59231641
101,,,30,97.7,2.3,15.2,3,697,12.92094642,21.6949926,17.36745514,11.56898212,9.803193136,10.19722635,6.642381591,5.104943204,4.699879444,4.384204961,9.4,10.48930193,8.362544978
102,,,38.2,99.9,0.1,22.1,1.2,243,6.638082347,12.13594972,13.73696957,14.99458114,11.70064611,12.48992068,12.44558949,7.82635415,8.031906798,1.914111571,14.1,15.21165931,13.07981679
103,,,229.6,99.9,0.1,18.2,1.2,2395,7.384835203,14.10611615,15.48688934,15.45470653,12.49233673,13.1627377,11.49059722,5.647920423,4.773860701,2.037613766,14.2,14.67402488,13.79818413
104,,,114.1,99.7,0.3,17.8,2.6,1807,9.2738113,14.92635059,14.63259595,15.74302305,11.39383538,10.7407351,11.01584413,6.384415485,5.88938902,2.696645543,13.6,14.23203799,12.94839448
105,,,66,79,21,21.1,0.6,1054,9.641999017,17.26446838,16.40163831,15.99501029,11.69980399,11.40899911,8.238684744,5.376558206,3.972837966,2.789391502,17.4,18.34912915,16.48023213
106,,,145.4,99.8,0.2,10.9,0.6,1199,6.831035242,11.0322901,12.35305734,16.93320578,13.7403873,11.11286702,10.49508917,7.874253427,9.627814618,1.96252974,11.3,11.76465437,10.75815364
107,,,68.6,100,0,15.5,0.8,767,7.897062112,14.81149719,15.35748371,13.74107438,12.19896885,13.20103664,12.57991514,5.176673532,5.036288458,2.407547982,8.1,8.67428929,7.482240988
108,,,36.6,0.9,99.1,0.1,1.8,589,11.64610329,23.43449584,16.81254694,15.18028093,14.22927938,9.285388615,4.893537309,3.069328413,1.449039276,2.71371116,8.2,9.051655468,7.367217173
109,,,29,0.3,99.7,0,2.1,600,12.96963887,24.61201085,17.75282791,15.77035719,12.834684,8.406303096,4.252323887,2.426888065,0.97496612,3.202143099,6.1,6.946013875,5.291926449
110,,,194.8,98.2,1.8,28,0.6,1932,7.998275504,14.50244739,16.06915071,15.66336324,12.08451262,12.06043342,9.392095589,6.746865845,5.482855687,2.237045495,16.9,17.37186103,16.32961289
111,,,51.5,97.3,2.7,19.2,1.1,514,8.820443921,14.00665162,12.91400656,16.12417443,12.11720573,11.97974855,10.33364683,6.854791513,6.84933085,2.432123976,13.6,14.52093619,12.6638495
112,,,16.9,99.4,0.6,5.9,0.4,227,9.853209647,18.35686315,18.46210821,14.50499566,11.48196581,12.55173274,7.571272082,4.264961255,2.952891457,2.903555078,15,16.66469789,13.35355865
113,,,19.1,99.9,0.1,8.9,4.1,275,9.355295207,21.40069167,15.62603756,10.53027236,14.30673732,13.19651236,7.924191676,4.270343834,3.389918015,2.736618971,8.7,9.965922808,7.488364437
114,,,26.8,99.9,0.1,6.1,2.5,326,8.433935925,15.90650873,14.88972355,14.2692037,12.95931675,12.73708507,11.11139326,5.260544321,4.432288696,2.347415419,9.6,10.63134988,8.482367931
115,,,37.5,99.9,0.1,20.6,1.1,228,6.131339143,11.58873568,14.41527749,14.79761177,11.08507701,13.09725268,13.13135037,8.234112866,7.519242986,1.917746948,15,16.13719443,13.83937564
116,,,37.8,99.9,0.1,33.9,0.3,100,5.866823139,11.31271304,14.69490777,13.65341949,10.03522659,13.63574299,12.93779554,9.004514891,8.85885655,1.860250105,19.6,20.90880291,18.25610875
117,,,47.8,99.9,0.1,6.5,2.8,679,9.232764556,16.60042302,13.85115019,14.07090656,15.09414981,12.61621529,9.794176477,4.506962773,4.233251315,2.360632303,10.9,11.75215333,10.04570046
118,,,12.7,99.8,0.2,6,4.3,187,11.24828498,19.4744323,12.37265355,13.48105269,17.83047427,11.61034702,7.204853009,3.788217338,2.989684855,2.632466071,11.4,13.19639134,9.644036481
